Source,Target
773811544211808256,2569449784
1031488572220682240,2569449784
472794301,2569449784
1495027003367456769,2569449784
1495299548700237825,2569449784
1497016635076624387,2569449784
4096285402,2569449784
751778144,2569449784
118758276,2569449784
1497387837389479943,2569449784
2176794192,2569449784
226317899,2569449784
35208940,2569449784
1192036366605045760,2569449784
1417591252271263746,2569449784
2479368381,2569449784
1412013617474535425,2569449784
1497462582910795779,2569449784
1497785459564769284,2569449784
743903491937210368,2569449784
490540495,2569449784
3382404333,2569449784
1359140297800835072,2569449784
1079132387605266432,2569449784
54327296,2569449784
4535982099,2569449784
3428657009,2569449784
1261319769560670208,2569449784
1337207381864964098,2569449784
1379644015369392131,2569449784
274190749,2569449784
1459809227371954176,2569449784
250392207,2569449784
2654402445,2569449784
254434983,2569449784
1272390066212651008,2569449784
17404970,2569449784
2878455154,2569449784
4105677232,2569449784
1270504356006240256,2569449784
1348012413828935684,2569449784
1500350364565991425,2569449784
813834096241737728,2569449784
1493441058184777729,2569449784
1370931387126194179,2569449784
1029997581194153986,2569449784
3187884921,2569449784
118127588,2569449784
110262855,2569449784
1370542777939939338,2569449784
2536023267,2569449784
1135909465356505088,2569449784
296725789,2569449784
141928555,2569449784
707029862,2569449784
953482554,2569449784
1109544350499917824,2569449784
1472584362696884227,2569449784
97712634,2569449784
1496524933052129284,2569449784
1145371838702399488,2569449784
1173038870,2569449784
614705017,2569449784
4002000274,2569449784
1480880574214639617,2569449784
2968120546,2569449784
265815952,2569449784
1301919135023144966,2569449784
1106582505069731842,2569449784
314641368,2569449784
2692602938,2569449784
1314946207643561985,2569449784
2977982901,2569449784
1042225608703528963,2569449784
1497235122977976321,2569449784
1500844309226172418,2569449784
1544611579,2569449784
557106940,2569449784
1118575533724504064,2569449784
1496943157090660355,2569449784
1128270893346709504,2569449784
2955963108,2569449784
2148424974,2569449784
321047579,2569449784
132298807,2569449784
1493169634878828544,2569449784
970031700846764032,2569449784
1418311202841759745,2569449784
1058892698,2569449784
1425878506777546757,2569449784
248457107,2569449784
1493709337554006019,2569449784
3785009915,2569449784
989459023685652480,2569449784
1497105542287749124,2569449784
89213165,2569449784
1250166694338801666,2569449784
1490288044569767938,2569449784
1492621745056059393,2569449784
7438552,2569449784
269344604,2569449784
1474276459279704091,2569449784
406819338,2569449784
1363231270235500546,2569449784
2167987970,2569449784
966019804409860096,2569449784
2563031431,2569449784
2992256769,2569449784
2581141295,2569449784
47694973,2569449784
18252547,2569449784
1257688898,2569449784
1481654910605152256,2569449784
2238336998,2569449784
829903591259435008,2569449784
47722487,2569449784
1110228265757753344,2569449784
1279891552303710211,2569449784
2199535237,2569449784
17734801,2569449784
2334670444,2569449784
1276593707815505926,2569449784
857330109396783106,2569449784
3378817168,2569449784
1431928357105569797,2569449784
1230449843207720961,2569449784
215210215,2569449784
19594708,2569449784
2680037651,2569449784
545794151,2569449784
1027409451890880512,2569449784
223695232,2569449784
1371206006387146753,2569449784
275635184,2569449784
1445433187576975363,2569449784
27004123,2569449784
1286678230804684801,2569449784
1367920795125694464,2569449784
2407030241,2569449784
170737784,2569449784
312843710,2569449784
634005606,2569449784
